City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
631,San Pedro Ayampuc,GT,76.84,overcast clouds,14.7867,-90.4511,"EL NARANJO, SAN PEDRO AYAMPUC GUATEMALA"
640,Wewak,PG,79.59,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
645,Fare,PF,80.71,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
648,Price,US,75.11,clear sky,39.5994,-110.8107,National 9 - Price River Inn
651,Madang,PG,75.97,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
652,Svay Rieng,KH,79.02,overcast clouds,11.0879,105.7993,Apsara guesthouse
655,Kerewan,GM,77.9,overcast clouds,13.4898,-16.0888,ADWAC Residents
657,Carson City,US,88.45,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
662,Sao Jose De Mipibu,BR,80.47,broken clouds,-6.0747,-35.2378,Rancho Crepusculo
664,Sinnamary,GF,80.94,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
666,Wanning,CN,77.38,overcast clouds,18.8003,110.3967,Paradise Hotel
670,Tabou,CI,78.31,light rain,4.423,-7.3528,hotêl doufoulougou
674,Luwuk,ID,77.86,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
675,Muncar,ID,76.64,overcast clouds,-8.4333,114.3333,Zaky Homestay
676,Bac Lieu,VN,81.5,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
678,Santa Isabel Do Rio Negro,BR,82.83,broken clouds,-0.4139,-65.0192,Hotel GSA
680,Manaring,PH,75.69,overcast clouds,17.1729,121.9025,D' Infinity Hotel
682,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
684,Salina Cruz,MX,87.67,overcast clouds,16.1667,-95.2,Amerik HOTEL
686,Ciudad Bolivar,VE,89.47,broken clouds,8.1222,-63.5497,Hotel Edi
688,Sibu,MY,77.31,moderate rain,2.3,111.8167,RH HOTEL (4 Star)
689,Khipro,PK,84.7,clear sky,25.8285,69.3772,Wali M Dars Hottle
